,GWP100 const,GWP100 BAU,ERF const,ERF BAU,GWP100 const 2,GWP100 BAU 2,ERF const 2,ERF BAU 2,GWP100 const 3,GWP100 BAU 3,ERF const 3,ERF BAU 3
2024,-0.14615826391001657,-0.5350677083299363,-0.5043678181336093,-1.4849028427824367,-0.11785395162288226,-0.33475654112846553,-0.47827661136991806,-1.295421524628736,-0.028304312287134308,-0.20031116720147082,-0.019660135323163158,-0.17478859992353074
2025,-0.15275461496359904,-0.5770221450349872,-0.5405652285889506,-1.627168752807919,-0.122986986813468,-0.3618652197818485,-0.5117482859344686,-1.4190714402011722,-0.029767628150131037,-0.21515692525313865,-0.021980498361399342,-0.1926630824703951
2026,-0.1585535437451095,-0.617123688554307,-0.5610399535200304,-1.7452574233063665,-0.12752388565292574,-0.38780709150623577,-0.5297900810681135,-1.5186658874253682,-0.03102965809218375,-0.22931659704807122,-0.024152627852845897,-0.2106837470301553
2027,-0.1657588574615437,-0.6575538566832777,-0.5712975379460896,-1.845668366041545,-0.13352512373893766,-0.4150853572473394,-0.5378625032355103,-1.6008506351459368,-0.03223373372260604,-0.24246849943593832,-0.026115667472709065,-0.22860718940290833
2028,-0.17437055611290106,-0.6983126494218993,-0.5819014843514186,-1.9403428274172647,-0.14099070107150316,-0.4437000170051596,-0.5464284540018487,-1.6779400573749998,-0.0333798550413979,-0.2546126324167397,-0.027878288353111166,-0.24599102156267727
2029,-0.18441801833646557,-0.7395130864409222,-0.5980626138858318,-2.0353466244117224,-0.1499470946154077,-0.4737349641535582,-0.5606476371004894,-1.7562045622229507,-0.034470923721057874,-0.26577812228736397,-0.029499281653486316,-0.26264424714250484
2030,-0.19584633996708123,-0.7809300287402423,-0.6200706700121152,-2.130936156027732,-0.16034536232942803,-0.5050260732982821,-0.5808131943485936,-1.8360116265638577,-0.03550097763765318,-0.2759039554419603,-0.030971103348682263,-0.27844917134733904
2031,-0.2086810465326199,-0.8226755956492131,-0.6484388168414704,-2.2276947772990696,-0.17220796929000184,-0.5376535764597223,-0.6074315390232427,-1.9180058708267405,-0.036473077242618064,-0.28502201918949077,-0.0323051414679149,-0.2933531424494939
2032,-0.22292213803308228,-0.8647497871678353,-0.6832141322006499,-2.3253506348559108,-0.18553491549712975,-0.5716174736378792,-0.6405609500206151,-2.0020806724498437,-0.03738722253595253,-0.29313231352995617,-0.0334901851310588,-0.30718234297519137
2033,-0.23861441609985892,-0.907269226799132,-0.7245510378142538,-2.4243394723338705,-0.2003687364604585,-0.6070163136516016,-0.680354904006475,-2.088722756478519,-0.03824567963940042,-0.30025291314753044,-0.034530346013544246,-0.31988496224916146
2034,-0.25567213057957916,-0.9500015678784521,-0.7724051938482679,-2.524613289534664,-0.21662837304904087,-0.6436566602166617,-0.7267693166977307,-2.177931562935047,-0.03904375753053832,-0.3063449076617904,-0.03542588197951767,-0.33140603383362216
2035,-0.2741362299942229,-0.9930625335674232,-0.8263660753562899,-2.625299688249029,-0.23435234888417705,-0.6816334007984385,-0.7794047199270346,-2.2689551963089634,-0.039783881110045806,-0.3114291327689847,-0.03617240162563547,-0.34162319455022017
2036,-0.29298051037175277,-1.036274347356104,-0.8859936763256254,-2.725633384921211,-0.25252227608942307,-0.7200216338528482,-0.8378287789411829,-2.361113758874707,-0.040458234282329676,-0.31625271350325584,-0.03676246334345157,-0.3504370498017006
2037,-0.3112277385919143,-1.079577510499719,-0.9487833324134263,-2.8249795860527116,-0.27016719278363976,-0.757999519249911,-0.8995143510474878,-2.453270829558145,-0.04106054580827458,-0.321577991249808,-0.03727139865525216,-0.35838608426093693
2038,-0.32877820302508964,-1.1227353936914732,-1.0090654601448683,-2.9189752642624867,-0.2871906786570226,-0.7953595275612272,-0.9588044875753805,-2.540474672032432,-0.041587524368067064,-0.32737586613024594,-0.037723627945566905,-0.3660734635061954
2039,-0.3456826444491144,-1.1658663484729956,-1.0644089776705297,-3.0068287051693674,-0.30364172802407174,-0.8322061268010935,-1.0132466634906565,-2.6214067325541395,-0.042040916425042645,-0.3336602216719021,-0.03814068013483068,-0.3740268453300288
2040,-0.36194106286398775,-1.2089703748442877,-1.1143130551330207,-3.0874566202771834,-0.3195203408847867,-0.8685393169695105,-1.0623582620468668,-2.695058973241228,-0.04242072197920102,-0.34043105787477723,-0.0384979918016048,-0.3821515949071528
2041,-0.37759534456817057,-1.252165455262521,-1.1590794194517073,-3.1621878683918028,-0.3348676656609257,-0.9044565292260978,-1.1064241805097814,-2.7625612922720557,-0.04272767890724491,-0.34770892603642317,-0.03881183757767684,-0.39064788149295726
2042,-0.39255994703868924,-1.2952155510368857,-1.1986979467569916,-3.2310838543924447,-0.3495998371897773,-0.9397614946514206,-1.145440841992692,-2.8239666057572745,-0.04296010984891199,-0.355454056385465,-0.039069920823494524,-0.39951376878610356
2043,-0.40687852650005724,-1.3382387184010194,-1.23310391988562,-3.294050841234307,-0.36375957221229516,-0.9745530510052938,-1.1793448561660544,-2.879151871988819,-0.04311895428776208,-0.36368566739572555,-0.03927131444553703,-0.4087755569478538
2044,-0.4205510829522739,-1.3812349573549227,-1.2620491733788473,-3.3503369628496427,-0.37734687072847894,-1.008831198287718,-1.2079013134731178,-2.927437684883325,-0.043204212223794954,-0.3724037590672047,-0.039395697942153536,-0.4183442844339347
2045,-0.4336124177152981,-1.424321953076721,-1.285727512601635,-3.400255184949759,-0.3903966030982314,-1.0426877369773124,-1.2313078399325206,-2.969137947561646,-0.04321581461706674,-0.38163421609940856,-0.03943553150060423,-0.4282136941971126
2046,-0.4457639593120794,-1.466211009694054,-1.3042903055253068,-3.4439989218049964,-0.40257652778067987,-1.075709745890719,-1.2497211888239224,-3.0044585475947496,-0.04318743153139952,-0.3905012638033349,-0.039380215155389794,-0.43836362104184134
2047,-0.4568163216016521,-1.5059723898958592,-1.316827634190535,-3.479874123664144,-0.41366357681371635,-1.1077637639104805,-1.2622266166496228,-3.03214473723544,-0.043152744787935716,-0.39820862598537876,-0.03925423108885431,-0.448353813973715
2048,-0.4667695045840162,-1.5436060936821363,-1.3223904587502728,-3.507011303233,-0.4236577501973408,-1.1388497910365964,-1.2678256589084638,-3.0518888879518524,-0.04311175438667544,-0.40475630264553975,-0.0391241634168889,-0.457595601751493
2049,-0.47564625595313464,-1.579206475229701,-1.3206880016698739,-3.5250745540861272,-0.4325819338570863,-1.169049012788987,-1.266209877657986,-3.063701394684072,-0.0430643220960483,-0.41015746244071394,-0.03900364295112619,-0.46570313815118664
2050,-0.48339806887092485,-1.6125789969344688,-1.3125516677818063,-3.535848148954632,-0.4403873617620253,-1.1981964060979673,-1.2581863706362364,-3.0692442840877163,-0.043010707108899544,-0.41438259083650153,-0.0389165216111952,-0.47278869491171216
2051,-0.4900507024815064,-1.6438238422237081,-1.2985558560893724,-3.540382462476777,-0.44709991401755217,-1.2263758085133019,-1.2443088656647903,-3.069490837940469,-0.0429507884639542,-0.41744803371040623,-0.038883421212499214,-0.47891565993869095
2052,-0.4956041567848791,-1.6729410110974199,-1.2789343887386706,-3.538772998319735,-0.45271959062366696,-1.2535872200349916,-1.2248081205588421,-3.0645730389785175,-0.042884566161212175,-0.4193537910624283,-0.0389033723668308,-0.4840246750629514
2053,-0.5000691254238314,-1.7000015247600557,-1.253625279915913,-3.530369129614321,-0.45725729258322495,-1.2799012107977379,-1.199638899078666,-3.0540219104118904,-0.04281183284060652,-0.4201003139623179,-0.03895457506925227,-0.4879099004596153
2054,-0.5034212096626307,-1.724857511552258,-1.222882319819616,-3.5154553112299043,-0.46068822371065443,-1.3051739885022913,-1.1690558028834368,-3.0381686447163325,-0.04273298595197622,-0.4196835230499666,-0.039032964610764095,-0.49050610631910696
2055,-0.5056741145942211,-1.7475858219289315,-1.1868552893711626,-3.4938560822928975,-0.46302627918867184,-1.3294787753131991,-1.133210509807422,-3.016887387087732,-0.042647835405549235,-0.41810704661573234,-0.03913278455211863,-0.49174291251516566
2056,-0.5073734189173009,-1.7694890156918284,-1.1454965043440373,-3.4648423717778245,-0.4648741214982729,-1.3534043009799224,-1.09206658899574,-2.9895717249300553,-0.04249929741902807,-0.41608471471190595,-0.03923816832834497,-0.4914736054792079
2057,-0.5090693239619916,-1.7919316252798938,-1.1007836302463,-3.430496563341206,-0.4668399382446137,-1.3776057062533384,-1.0476358567064357,-2.958093432994439,-0.04222938571737786,-0.41432591902655536,-0.039282309178524086,-0.48990285671033396
2058,-0.510752562487611,-1.8147910134822645,-1.0566196840533162,-3.3955248603860086,-0.4689129872596813,-1.4019507430171996,-1.0038719578742867,-2.9265670590862363,-0.0418395752279297,-0.41284027046506494,-0.03919022668383437,-0.4876784546001573
